batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,0.7148751616477966
8,1e-05,0.01,0,0.7168787121772766
8,2e-05,0.1,0,0.7610792517662048
8,2e-05,0.01,0,0.7517226338386536
8,3e-05,0.1,0,0.7653065919876099
8,3e-05,0.01,0,0.7592625021934509
8,5e-05,0.1,0,0.7666924595832825
8,7e-06,0.1,0,0.7285155057907104
8,7e-06,0.01,0,0.7265474796295166
8,9e-06,0.1,0,0.7087081670761108
8,9e-06,0.01,0,0.7099292278289795
8,5e-05,0.01,0,0.749564528465271
8,7e-05,0.1,0,0.8081093430519104
8,7e-05,0.01,0,0.7933217287063599
16,7e-06,0.1,0,0.7573540210723877
16,7e-06,0.01,0,0.7582589983940125
16,9e-06,0.1,0,0.7685993909835815
16,9e-06,0.01,0,0.7742218375205994
16,1e-05,0.1,0,0.7559919357299805
16,1e-05,0.01,0,0.7576767802238464
16,2e-05,0.1,0,0.7358099222183228
16,2e-05,0.01,0,0.7457258701324463
16,3e-05,0.1,0,0.7516394853591919
16,3e-05,0.01,0,0.7683781981468201
16,5e-05,0.1,0,0.7532278299331665
16,5e-05,0.01,0,0.7959747314453125
16,7e-05,0.1,0,0.7894960641860962
16,7e-05,0.01,0,0.7604902386665344
32,7e-06,0.1,0,0.7818329334259033
32,7e-06,0.01,0,0.7838901877403259
32,9e-06,0.1,0,0.7759071588516235
32,9e-06,0.01,0,0.7795314192771912
32,1e-05,0.1,0,0.7686469554901123
32,1e-05,0.01,0,0.7642013430595398
32,2e-05,0.1,0,0.7840397953987122
32,2e-05,0.01,0,0.7837036848068237
32,3e-05,0.1,0,0.7865347862243652
32,3e-05,0.01,0,0.7716947793960571
32,5e-05,0.1,0,0.7804400324821472
32,5e-05,0.01,0,0.7800038456916809
32,7e-05,0.1,0,0.8118003010749817
32,7e-05,0.01,0,0.8035825490951538
