batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,4.897571563720703
8,1e-05,0.01,0,4.903759956359863
8,2e-05,0.1,0,5.000586986541748
8,2e-05,0.01,0,5.001025199890137
8,3e-05,0.1,0,5.009988307952881
8,3e-05,0.01,0,4.961727142333984
8,5e-05,0.1,0,5.364528179168701
8,5e-05,0.01,0,5.311560153961182
16,1e-05,0.1,0,4.86570405960083
16,1e-05,0.01,0,4.841350555419922
16,2e-05,0.1,0,4.8301239013671875
16,2e-05,0.01,0,4.7671966552734375
16,3e-05,0.1,0,5.1431450843811035
16,3e-05,0.01,0,4.960102558135986
16,5e-05,0.1,0,4.998923301696777
16,5e-05,0.01,0,5.181400299072266
32,1e-05,0.1,0,5.191003322601318
32,1e-05,0.01,0,5.182135581970215
32,2e-05,0.1,0,5.237140655517578
32,2e-05,0.01,0,5.1078877449035645
32,3e-05,0.1,0,5.010446071624756
32,3e-05,0.01,0,4.939578056335449
32,5e-05,0.1,0,5.10975456237793
32,5e-05,0.01,0,4.889008045196533
