batch_size,augment_images,learning_rate,weight_decay,resnet_dropout,seq_classif_dropout,concat_mode,num_image_features,repeats,score
8,True,1e-05,0.1,0.5,0.2,dropout,128,0,0.8835688829421997
16,False,5e-05,0.1,0.4,0.2,cls,64,0,0.8853102922439575
32,True,1e-05,0.01,0.1,0.2,dropout,512,0,0.9309436678886414
32,False,3e-05,0.01,0.1,0.2,cls,128,0,0.9567949771881104
32,True,1e-05,0.1,0.0,0.2,cls,32,0,0.9270283579826355
32,False,7e-05,0.01,0.30000000000000004,0.2,dropout,32,0,0.9170495271682739
32,False,0.0001,0.01,0.5,0.2,cls,512,0,0.8865998983383179
16,False,5e-05,0.01,0.4,0.2,dropout,64,0,0.8912992477416992
16,False,2e-05,0.01,0.30000000000000004,0.2,dropout,512,0,0.9959167242050171
16,False,5e-05,0.1,0.1,0.2,dropout,512,0,0.9418540000915527
32,True,0.0001,0.1,0.5,0.2,dropout,256,0,0.8959635496139526
8,False,5e-05,0.01,0.4,0.2,dropout,16,0,0.9139037728309631
32,False,2e-05,0.01,0.5,0.2,cls,128,0,0.8945349454879761
8,False,7e-05,0.01,0.5,0.2,cls,256,0,0.9156826138496399
32,False,2e-05,0.1,0.4,0.2,cls,256,0,0.9212855696678162
8,False,3e-05,0.01,0.2,0.2,dropout,512,0,0.9453850388526917
16,True,5e-05,0.1,0.2,0.2,dropout,32,0,0.8890780806541443
8,False,2e-05,0.1,0.5,0.2,dropout,256,0,0.8644538521766663
8,True,3e-05,0.01,0.4,0.2,cls,512,0,0.8719196319580078
32,True,1e-05,0.01,0.5,0.2,dropout,32,0,0.9168535470962524
16,True,2e-05,0.01,0.1,0.2,dropout,16,0,0.899138867855072
32,False,7e-05,0.01,0.5,0.2,cls,64,0,0.8780456185340881
8,True,0.0001,0.1,0.0,0.2,dropout,32,0,0.9073919057846069
8,True,3e-05,0.01,0.30000000000000004,0.2,cls,256,0,0.8876188397407532
32,True,3e-05,0.01,0.5,0.2,cls,256,0,0.962440013885498
8,True,7e-05,0.1,0.30000000000000004,0.2,cls,256,0,0.9206905961036682
16,False,0.0001,0.01,0.30000000000000004,0.2,cls,16,0,0.8700846433639526
16,True,7e-05,0.1,0.30000000000000004,0.2,dropout,256,0,0.8836266398429871
16,True,0.0001,0.01,0.4,0.2,dropout,128,0,0.8805378675460815
16,False,1e-05,0.01,0.2,0.2,cls,256,0,0.9156542420387268
32,True,2e-05,0.1,0.1,0.2,dropout,64,0,0.8654685616493225
16,False,0.0001,0.01,0.0,0.2,cls,16,0,0.8861434459686279
16,False,1e-05,0.1,0.0,0.2,dropout,32,0,0.8855278491973877
16,True,7e-05,0.01,0.30000000000000004,0.2,cls,512,0,0.9057697057723999
16,True,1e-05,0.01,0.4,0.2,dropout,32,0,0.889655351638794
16,False,2e-05,0.1,0.30000000000000004,0.2,dropout,128,0,0.9171029925346375
32,True,1e-05,0.1,0.4,0.2,dropout,512,0,0.9140725135803223
16,False,7e-05,0.1,0.5,0.2,dropout,128,0,0.8908993005752563
16,False,2e-05,0.01,0.1,0.2,dropout,512,0,1.006714105606079
8,True,2e-05,0.1,0.2,0.2,dropout,256,0,0.873006284236908
32,False,7e-05,0.01,0.30000000000000004,0.2,cls,512,0,0.8777685165405273
16,False,5e-05,0.1,0.0,0.2,cls,32,0,0.895301342010498
16,True,5e-05,0.1,0.0,0.2,dropout,64,0,0.8825973272323608
32,False,5e-05,0.01,0.5,0.2,cls,512,0,0.874254047870636
32,False,5e-05,0.01,0.0,0.2,dropout,256,0,0.9151637554168701
32,True,7e-05,0.1,0.1,0.2,cls,16,0,0.9431965947151184
16,False,2e-05,0.1,0.1,0.2,dropout,32,0,0.8900156021118164
32,False,5e-05,0.1,0.2,0.2,cls,16,0,0.8979167938232422
16,False,5e-05,0.01,0.5,0.2,cls,512,0,0.8654029965400696
16,False,0.0001,0.1,0.1,0.2,cls,128,0,0.9372969269752502
16,False,0.0001,0.01,0.5,0.2,dropout,512,0,0.9352139234542847
32,False,1e-05,0.01,0.4,0.2,cls,256,0,0.9902274012565613
16,True,7e-05,0.01,0.1,0.2,dropout,128,0,0.8870046734809875
8,True,7e-05,0.1,0.4,0.2,dropout,16,0,0.9251736998558044
32,True,1e-05,0.01,0.2,0.2,dropout,16,0,0.917375385761261
32,True,1e-05,0.1,0.4,0.2,cls,32,0,0.9215589165687561
8,False,1e-05,0.01,0.30000000000000004,0.2,cls,16,0,0.8911597728729248
32,True,0.0001,0.01,0.4,0.2,dropout,128,0,0.9480442404747009
16,True,3e-05,0.1,0.2,0.2,dropout,512,0,0.9077194333076477
32,True,7e-05,0.01,0.5,0.2,dropout,64,0,0.9066655039787292
8,True,2e-05,0.01,0.30000000000000004,0.2,dropout,64,0,0.866647481918335
32,False,1e-05,0.01,0.4,0.2,cls,128,0,0.9291403889656067
16,True,7e-05,0.1,0.2,0.2,dropout,128,0,0.8526058793067932
8,False,3e-05,0.1,0.5,0.2,cls,32,0,0.872294545173645
16,True,0.0001,0.1,0.4,0.2,cls,128,0,0.9179895520210266
16,False,3e-05,0.01,0.1,0.2,dropout,128,0,0.9304698705673218
8,True,0.0001,0.1,0.0,0.2,dropout,64,0,0.902012288570404
