batch_size,augment_images,learning_rate,weight_decay,resnet_dropout,seq_classif_dropout,concat_mode,num_image_features,repeats,score
8,True,1e-05,0.01,0.2,0.2,cls,16,0,120.60394287109375
32,False,1e-05,0.1,0.4,0.2,cls,32,0,7.385218620300293
32,False,1e-05,0.01,0.30000000000000004,0.2,dropout,512,0,7.712133407592773
16,False,5e-05,0.1,0.4,0.2,dropout,64,0,6.684850692749023
8,True,2e-05,0.01,0.2,0.2,cls,128,0,117.73139953613281
8,False,2e-05,0.1,0.2,0.2,dropout,256,0,6.713109970092773
32,False,0.0001,0.1,0.1,0.2,cls,128,0,6.854893684387207
16,False,0.0001,0.01,0.30000000000000004,0.2,dropout,16,0,6.3588972091674805
16,False,0.0001,0.1,0.30000000000000004,0.2,dropout,16,0,6.77724552154541
32,False,3e-05,0.1,0.1,0.2,cls,128,0,7.420108795166016
32,False,0.0001,0.01,0.5,0.2,dropout,128,0,6.466369152069092
32,False,5e-05,0.01,0.0,0.2,dropout,256,0,7.063529968261719
32,False,7e-05,0.1,0.1,0.2,cls,16,0,6.870941638946533
16,False,2e-05,0.01,0.0,0.2,cls,256,0,7.093094825744629
16,False,5e-05,0.01,0.30000000000000004,0.2,dropout,128,0,6.7262282371521
8,False,3e-05,0.01,0.0,0.2,cls,32,0,6.497737407684326
16,False,0.0001,0.01,0.5,0.2,cls,128,0,6.68648624420166
16,False,7e-05,0.1,0.1,0.2,cls,128,0,6.874680042266846
16,False,2e-05,0.01,0.30000000000000004,0.2,cls,512,0,6.888707637786865
32,False,5e-05,0.1,0.5,0.2,cls,256,0,7.246134281158447
8,False,2e-05,0.1,0.4,0.2,cls,32,0,6.6764817237854
8,False,5e-05,0.01,0.30000000000000004,0.2,dropout,16,0,6.343607425689697
8,False,7e-05,0.1,0.0,0.2,dropout,16,0,6.793869972229004
8,False,5e-05,0.01,0.2,0.2,dropout,16,0,6.534825325012207
32,False,3e-05,0.1,0.2,0.2,dropout,32,0,7.028346538543701
32,False,2e-05,0.1,0.30000000000000004,0.2,dropout,16,0,7.21552848815918
16,False,1e-05,0.01,0.5,0.2,cls,256,0,7.207608222961426
32,False,5e-05,0.01,0.5,0.2,dropout,64,0,6.951333522796631
8,False,3e-05,0.1,0.5,0.2,dropout,16,0,6.624065399169922
16,False,2e-05,0.001,0.5,0.2,cls,32,0,7.048222541809082
16,False,0.0001,0.1,0.0,0.2,dropout,32,0,6.369771480560303
16,False,0.0004,0.1,0.2,0.2,dropout,8,0,9.490686416625977
8,False,0.0001,0.1,0.2,0.2,cls,512,0,6.742283344268799
8,False,0.001,0.01,0.0,0.2,dropout,8,0,10.841230392456055
8,False,3e-05,0.001,0.4,0.2,dropout,16,0,6.781502723693848
8,False,0.0004,0.001,0.1,0.2,cls,16,0,9.614311218261719
16,False,3e-05,0.01,0.30000000000000004,0.2,cls,64,0,6.848681449890137
