batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,0.7145441174507141
8,1e-05,0.01,0,0.7135345339775085
8,2e-05,0.1,0,0.7655540108680725
8,2e-05,0.01,0,0.7479658722877502
8,3e-05,0.1,0,0.769256055355072
8,3e-05,0.01,0,0.736880898475647
8,5e-05,0.1,0,0.7639578580856323
8,5e-05,0.01,0,0.7730111479759216
16,1e-05,0.1,0,0.7697325348854065
16,1e-05,0.01,0,0.7698601484298706
16,2e-05,0.1,0,0.7486532330513
16,2e-05,0.01,0,0.7579137086868286
16,3e-05,0.1,0,0.7892816066741943
16,3e-05,0.01,0,0.7700650691986084
16,5e-05,0.1,0,0.7579807639122009
16,5e-05,0.01,0,0.7466822266578674
32,1e-05,0.1,0,0.7690441012382507
32,1e-05,0.01,0,0.7797728180885315
32,2e-05,0.1,0,0.7828127145767212
32,2e-05,0.01,0,0.7949750423431396
32,3e-05,0.1,0,0.7985242605209351
32,3e-05,0.01,0,0.8163881301879883
32,5e-05,0.1,0,0.7722322344779968
32,5e-05,0.01,0,0.7979769706726074
