batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,0.8591918349266052
8,1e-05,0.01,0,0.8536733984947205
8,2e-05,0.1,0,0.8480703234672546
8,2e-05,0.01,0,0.8507280349731445
8,3e-05,0.1,0,0.8580076098442078
8,3e-05,0.01,0,0.8466319441795349
8,5e-05,0.1,0,0.855228066444397
8,5e-05,0.01,0,0.8323657512664795
16,1e-05,0.1,0,0.8859532475471497
16,1e-05,0.01,0,0.8886786699295044
16,2e-05,0.1,0,0.8668569326400757
16,2e-05,0.01,0,0.8801936507225037
16,3e-05,0.1,0,0.8956578373908997
16,3e-05,0.01,0,0.870627760887146
16,5e-05,0.1,0,0.8725182414054871
16,5e-05,0.01,0,0.8763169050216675
32,1e-05,0.1,0,0.893688440322876
32,1e-05,0.01,0,0.8950029611587524
32,2e-05,0.1,0,0.9045285582542419
32,2e-05,0.01,0,0.8889424800872803
32,3e-05,0.1,0,0.8607710003852844
32,3e-05,0.01,0,0.9164109230041504
32,5e-05,0.1,0,0.8550268411636353
32,5e-05,0.01,0,0.9001879692077637
8,7e-05,0.1,0,0.8540793657302856
8,7e-05,0.01,0,0.8368693590164185
8,9e-05,0.1,0,0.8884152173995972
8,9e-05,0.01,0,0.8670828342437744
8,0.0002,0.1,0,0.9550455808639526
8,0.0002,0.01,0,0.9621346592903137
16,7e-05,0.1,0,0.8767688870429993
16,7e-05,0.01,0,0.8286007642745972
16,9e-05,0.1,0,0.8625617623329163
16,9e-05,0.01,0,0.8535679578781128
16,0.0002,0.1,0,0.8930283784866333
16,0.0002,0.01,0,0.9243230819702148
32,7e-05,0.1,0,0.8984005451202393
32,7e-05,0.01,0,0.8984703421592712
32,9e-05,0.1,0,0.8624938726425171
32,9e-05,0.01,0,0.8696697354316711
32,0.0002,0.1,0,0.8756494522094727
32,0.0002,0.01,0,0.8833118677139282
