batch_size,lr,weight_decay,score
8,1e-05,0.1,1.2090163969087162
8,1e-05,0.01,1.2217378014106355
8,0.0001,0.1,1.2488334453600343
8,0.0001,0.01,1.2233617447213643
8,0.001,0.1,1.2773794419205133
8,0.001,0.01,1.279241674918733
16,1e-05,0.1,1.181557438379034
16,1e-05,0.01,1.230030164806121
16,0.0001,0.1,1.2213622479263795
16,0.0001,0.01,1.2120337584696779
16,0.001,0.1,1.2784496007162496
16,0.001,0.01,1.2810552390206844
32,1e-05,0.1,1.1834658568555658
32,1e-05,0.01,1.2087872770699588
32,0.0001,0.1,1.2359890363433144
32,0.0001,0.01,1.1974131291562862
32,0.001,0.1,1.2756534413857894
32,0.001,0.01,1.2685764822092924
