batch_size,lr,weight_decay,score
8,1e-05,0.1,44870596.28989055
8,1e-05,0.01,44873977.82312068
8,0.0001,0.1,44875076.37406394
8,0.0001,0.01,44859413.30256336
8,0.001,0.1,44785914.22119816
8,0.001,0.01,44788170.353542626
16,1e-05,0.1,44717932.25917431
16,1e-05,0.01,44669320.2293578
16,0.0001,0.1,44661172.652809635
16,0.0001,0.01,44668225.595183484
16,0.001,0.1,44620412.27637614
16,0.001,0.01,44580004.4271789
32,1e-05,0.1,44259461.572017044
32,1e-05,0.01,44259318.26178978
32,0.0001,0.1,44298946.85
32,0.0001,0.01,44260496.90909091
32,0.001,0.1,44222941.24318182
32,0.001,0.01,44257728.79545455
