batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,1.009404182434082
8,1e-05,0.01,0,1.0142300128936768
8,2e-05,0.1,0,1.0122841596603394
8,2e-05,0.01,0,1.013460636138916
8,3e-05,0.1,0,0.9927606582641602
8,3e-05,0.01,0,1.0018950700759888
8,5e-05,0.1,0,1.0287623405456543
8,5e-05,0.01,0,1.0188175439834595
16,1e-05,0.1,0,1.0129214525222778
16,1e-05,0.01,0,1.0111099481582642
16,2e-05,0.1,0,1.0346695184707642
16,2e-05,0.01,0,1.0345510244369507
16,3e-05,0.1,0,1.016879916191101
16,3e-05,0.01,0,1.0235003232955933
16,5e-05,0.1,0,1.0272977352142334
16,5e-05,0.01,0,1.03024423122406
32,1e-05,0.1,0,1.0663503408432007
32,1e-05,0.01,0,1.0564281940460205
32,2e-05,0.1,0,1.018438458442688
32,2e-05,0.01,0,1.0193086862564087
32,3e-05,0.1,0,1.098671317100525
32,3e-05,0.01,0,1.0886316299438477
32,5e-05,0.1,0,1.0725258588790894
32,5e-05,0.01,0,1.0716913938522339
