batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,5.21486234664917
8,1e-05,0.01,0,5.236978054046631
8,2e-05,0.1,0,5.112624168395996
8,2e-05,0.01,0,5.415019989013672
8,3e-05,0.1,0,5.359848976135254
8,3e-05,0.01,0,5.440707683563232
8,5e-05,0.1,0,5.246392726898193
8,5e-05,0.01,0,5.4218573570251465
8,7e-05,0.1,0,5.320554256439209
8,7e-05,0.01,0,5.433534622192383
8,9e-05,0.1,0,5.424810886383057
8,9e-05,0.01,0,5.3915910720825195
16,1e-05,0.1,0,5.967716693878174
16,1e-05,0.01,0,6.002180099487305
16,2e-05,0.1,0,5.828356742858887
16,2e-05,0.01,0,5.864235877990723
16,3e-05,0.1,0,5.822334289550781
16,3e-05,0.01,0,5.862504482269287
16,5e-05,0.1,0,5.779738903045654
16,5e-05,0.01,0,5.822234630584717
16,7e-05,0.1,0,5.61775541305542
16,7e-05,0.01,0,5.5913591384887695
16,9e-05,0.1,0,6.066014289855957
16,9e-05,0.01,0,5.9582929611206055
32,1e-05,0.1,0,6.335818767547607
32,1e-05,0.01,0,6.383111953735352
32,2e-05,0.1,0,6.441679000854492
32,2e-05,0.01,0,6.471348762512207
32,3e-05,0.1,0,6.436487197875977
32,3e-05,0.01,0,6.4186930656433105
32,5e-05,0.1,0,6.395270824432373
32,5e-05,0.01,0,6.399743556976318
32,7e-05,0.1,0,6.17583703994751
32,7e-05,0.01,0,6.440939903259277
32,9e-05,0.1,0,6.526054382324219
32,9e-05,0.01,0,6.366211891174316
