batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,0.8111546039581299
8,1e-05,0.01,0,0.8587761521339417
8,2e-05,0.1,0,0.86542147397995
8,2e-05,0.01,0,0.8250590562820435
8,3e-05,0.1,0,0.8062155246734619
8,3e-05,0.01,0,0.8111401796340942
8,5e-05,0.1,0,0.8076834678649902
8,5e-05,0.01,0,0.768677294254303
16,1e-05,0.1,0,0.8819431066513062
16,1e-05,0.01,0,0.8871294856071472
16,2e-05,0.1,0,0.8546322584152222
16,2e-05,0.01,0,0.8588355779647827
16,3e-05,0.1,0,0.8336113691329956
16,3e-05,0.01,0,0.8277790546417236
16,5e-05,0.1,0,0.8188191652297974
16,5e-05,0.01,0,0.8035349249839783
32,1e-05,0.1,0,0.8770909905433655
32,1e-05,0.01,0,0.875175952911377
32,2e-05,0.1,0,0.8519208431243896
32,2e-05,0.01,0,0.8487744927406311
32,3e-05,0.1,0,0.8262010216712952
32,3e-05,0.01,0,0.807358980178833
32,5e-05,0.1,0,0.8040659427642822
32,5e-05,0.01,0,0.8068421483039856
8,7e-05,0.1,0,0.7939179539680481
8,7e-05,0.01,0,0.7989446520805359
8,9e-05,0.1,0,0.8031438589096069
8,9e-05,0.01,0,0.8280729651451111
16,7e-05,0.1,0,0.7880717515945435
16,7e-05,0.01,0,0.8107994794845581
16,9e-05,0.1,0,0.7735324501991272
16,9e-05,0.01,0,0.7882212400436401
32,7e-05,0.1,0,0.8140468001365662
32,7e-05,0.01,0,0.8109771013259888
32,9e-05,0.1,0,0.8051484227180481
32,9e-05,0.01,0,0.7975996136665344
