batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,0.7774024605751038
8,1e-05,0.01,0,0.8217874765396118
8,2e-05,0.1,0,0.8312275409698486
8,2e-05,0.01,0,0.8036361336708069
8,3e-05,0.1,0,0.7984016537666321
8,3e-05,0.01,0,0.7880810499191284
8,5e-05,0.1,0,0.7949087619781494
8,5e-05,0.01,0,0.7711474895477295
16,1e-05,0.1,0,0.8543840646743774
16,1e-05,0.01,0,0.8510587811470032
16,2e-05,0.1,0,0.8111979365348816
16,2e-05,0.01,0,0.8174392580986023
16,3e-05,0.1,0,0.8037079572677612
16,3e-05,0.01,0,0.789268970489502
16,5e-05,0.1,0,0.7593270540237427
16,5e-05,0.01,0,0.7781267762184143
32,1e-05,0.1,0,0.843528151512146
32,1e-05,0.01,0,0.8351759910583496
32,2e-05,0.1,0,0.8239722847938538
32,2e-05,0.01,0,0.8045892119407654
32,3e-05,0.1,0,0.8146589994430542
32,3e-05,0.01,0,0.8125907778739929
32,5e-05,0.1,0,0.8110156059265137
32,5e-05,0.01,0,0.7944278717041016
8,7e-05,0.1,0,0.8077325224876404
8,7e-05,0.01,0,0.8375703692436218
8,9e-05,0.1,0,0.8370328545570374
8,9e-05,0.01,0,0.853110134601593
16,7e-05,0.1,0,0.844441831111908
16,7e-05,0.01,0,0.8831567168235779
16,9e-05,0.1,0,0.8472273945808411
16,9e-05,0.01,0,0.8341943621635437
32,7e-05,0.1,0,0.8732431530952454
32,7e-05,0.01,0,0.8439186215400696
32,9e-05,0.1,0,0.8825629353523254
32,9e-05,0.01,0,0.8587203621864319
