batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,5.703686714172363
8,1e-05,0.01,0,5.745428085327148
8,2e-05,0.1,0,5.697977066040039
8,2e-05,0.01,0,5.869314193725586
8,3e-05,0.1,0,5.567257881164551
8,3e-05,0.01,0,5.740498065948486
8,5e-05,0.1,0,5.584110736846924
8,5e-05,0.01,0,5.449547290802002
8,7e-05,0.1,0,5.631250858306885
8,7e-05,0.01,0,5.59572696685791
8,9e-05,0.1,0,5.732686996459961
8,9e-05,0.01,0,5.410193920135498
16,1e-05,0.1,0,6.267436504364014
16,1e-05,0.01,0,6.271473407745361
16,2e-05,0.1,0,5.9709792137146
16,2e-05,0.01,0,5.998967170715332
16,3e-05,0.1,0,6.01446533203125
16,3e-05,0.01,0,6.055079936981201
16,5e-05,0.1,0,5.9864349365234375
16,5e-05,0.01,0,6.077747344970703
16,7e-05,0.1,0,6.0862274169921875
16,7e-05,0.01,0,6.001043319702148
16,9e-05,0.1,0,5.976372718811035
16,9e-05,0.01,0,6.005406379699707
32,1e-05,0.1,0,6.546180725097656
32,1e-05,0.01,0,6.546818256378174
32,2e-05,0.1,0,6.381220817565918
32,2e-05,0.01,0,6.335504531860352
32,3e-05,0.1,0,6.301481246948242
32,3e-05,0.01,0,6.347633361816406
32,5e-05,0.1,0,6.088024616241455
32,5e-05,0.01,0,6.365711688995361
32,7e-05,0.1,0,6.340939521789551
32,7e-05,0.01,0,6.276012897491455
32,9e-05,0.1,0,5.836924076080322
32,9e-05,0.01,0,6.415478706359863
