batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,5.310368537902832
8,1e-05,0.01,0,5.326187610626221
8,2e-05,0.1,0,5.276792526245117
8,2e-05,0.01,0,5.4133806228637695
8,3e-05,0.1,0,5.234908580780029
8,3e-05,0.01,0,5.2701849937438965
8,5e-05,0.1,0,5.327775001525879
8,5e-05,0.01,0,5.290501117706299
8,7e-05,0.1,0,5.286708354949951
8,7e-05,0.01,0,5.250670433044434
8,9e-05,0.1,0,5.4368743896484375
8,9e-05,0.01,0,5.2426347732543945
16,1e-05,0.1,0,5.697667598724365
16,1e-05,0.01,0,5.816120147705078
16,2e-05,0.1,0,5.793017864227295
16,2e-05,0.01,0,5.6361565589904785
16,3e-05,0.1,0,5.813517093658447
16,3e-05,0.01,0,5.532451629638672
16,5e-05,0.1,0,5.753574371337891
16,5e-05,0.01,0,5.461656093597412
16,7e-05,0.1,0,5.34834098815918
16,7e-05,0.01,0,5.559416770935059
16,9e-05,0.1,0,5.60456657409668
16,9e-05,0.01,0,5.606976509094238
32,1e-05,0.1,0,5.9001922607421875
32,1e-05,0.01,0,5.919785976409912
32,2e-05,0.1,0,5.843627452850342
32,2e-05,0.01,0,5.8319854736328125
32,3e-05,0.1,0,5.855788707733154
32,3e-05,0.01,0,5.791634559631348
32,5e-05,0.1,0,5.661022663116455
32,5e-05,0.01,0,5.628309726715088
32,7e-05,0.1,0,5.6417317390441895
32,7e-05,0.01,0,5.711973190307617
32,9e-05,0.1,0,5.659281253814697
32,9e-05,0.01,0,5.528326988220215
